路径	类型	新状态	依据
D:\博士\Phospho\Fig_Kinase_vs_Phosphosite_Correlation.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Kinase_vs_Phosphosite_Correlation.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Merged_HighLow_Violin.png	图	活	Phospho\0331.py:10947（写出）；Phospho\0210trying.ipynb:c82:108（写出）
D:\博士\Phospho\Fig_Merged_HighLow_Violin.tiff	图	活	Phospho\0331.py:10946（写出）；Phospho\0210trying.ipynb:c82:107（写出）
D:\博士\Phospho\Fig_Phosphosite_Count_PerTimepoint.png	图	活	Phospho\0210trying.ipynb:c116:132（写出）
D:\博士\Phospho\Fig_Phosphosite_Count_PerTimepoint.tiff	图	活	Phospho\0210trying.ipynb:c116:133（写出）
D:\博士\Phospho\Fig_Pres_Backbone_Compartment.png	图	活	Phospho\0331.py:12906（写出）；Phospho\0210trying.ipynb:c113:77（写出）
D:\博士\Phospho\Fig_Pres_Backbone_Compartment.tiff	图	活	Phospho\0331.py:12905（写出）；Phospho\0210trying.ipynb:c113:76（写出）
D:\博士\Phospho\Fig_Pres_Backbone_PhosphoVsNon.png	图	活	Phospho\0331.py:12906（写出）；Phospho\0210trying.ipynb:c113:77（写出）
D:\博士\Phospho\Fig_Pres_Backbone_PhosphoVsNon.tiff	图	活	Phospho\0331.py:12905（写出）；Phospho\0210trying.ipynb:c113:76（写出）
D:\博士\Phospho\Fig_Pres_Compartment_backbone_dynamics.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_Compartment_backbone_dynamics.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_Compartment_disorder_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_Compartment_disorder_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_Compartment_helix_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_Compartment_helix_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_Disorder_Compartment.png	图	活	Phospho\0331.py:12906（写出）；Phospho\0210trying.ipynb:c113:77（写出）
D:\博士\Phospho\Fig_Pres_Disorder_Compartment.tiff	图	活	Phospho\0331.py:12905（写出）；Phospho\0210trying.ipynb:c113:76（写出）
D:\博士\Phospho\Fig_Pres_Disorder_PhosphoVsNon.png	图	活	Phospho\0331.py:12906（写出）；Phospho\0210trying.ipynb:c113:77（写出）
D:\博士\Phospho\Fig_Pres_Disorder_PhosphoVsNon.tiff	图	活	Phospho\0331.py:12905（写出）；Phospho\0210trying.ipynb:c113:76（写出）
D:\博士\Phospho\Fig_Pres_Helix_PhosphoVsNon.png	图	活	Phospho\0331.py:12906（写出）；Phospho\0210trying.ipynb:c113:77（写出）
D:\博士\Phospho\Fig_Pres_Helix_PhosphoVsNon.tiff	图	活	Phospho\0331.py:12905（写出）；Phospho\0210trying.ipynb:c113:76（写出）
D:\博士\Phospho\Fig_Pres_HighLow_backbone_dynamics.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_backbone_dynamics.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_coil_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_coil_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_disorder_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_disorder_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_earlyFolding.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_earlyFolding.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_helix_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_helix_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_sheet_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_sheet_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_sidechain_dynamics.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_HighLow_sidechain_dynamics.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_backbone_dynamics.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_backbone_dynamics.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_coil_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_coil_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_disorder_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_disorder_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_earlyFolding.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_earlyFolding.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_helix_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_helix_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_sheet_propensity.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_sheet_propensity.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_sidechain_dynamics.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_PhosphoVsNon_sidechain_dynamics.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Pres_Proline_Compartment.png	图	活	Phospho\0331.py:13047（写出）；Phospho\0210trying.ipynb:c101:87（写出）
D:\博士\Phospho\Fig_Pres_Proline_Compartment.tiff	图	活	Phospho\0331.py:13046（写出）；Phospho\0210trying.ipynb:c101:86（写出）
D:\博士\Phospho\Fig_Pres_Proline_PhosphoVsNon.png	图	活	Phospho\0331.py:13003（写出）；Phospho\0210trying.ipynb:c101:43（写出）
D:\博士\Phospho\Fig_Pres_Proline_PhosphoVsNon.tiff	图	活	Phospho\0331.py:13002（写出）；Phospho\0210trying.ipynb:c101:42（写出）
D:\博士\Phospho\Fig_Proline_by_BestTime.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Proline_by_BestTime.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_ProteinLevel_AllFeatures.png	图	活	Phospho\0331.py:13813（写出）；Phospho\0210trying.ipynb:c112:146（写出）
D:\博士\Phospho\Fig_ProteinLevel_AllFeatures.tiff	图	活	Phospho\0331.py:13812（写出）；Phospho\0210trying.ipynb:c112:145（写出）
D:\博士\Phospho\Fig_ProteinLevel_Confounding.png	图	活	Phospho\0331.py:11809（写出）；Phospho\0210trying.ipynb:c87:601（写出）
D:\博士\Phospho\Fig_ProteinLevel_Confounding.tiff	图	活	Phospho\0331.py:11808（写出）；Phospho\0210trying.ipynb:c87:600（写出）
D:\博士\Phospho\Fig_ProteinLevel_Confounding_v2.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_ProteinLevel_Confounding_v2.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_ProteinLevel_Confounding_v3.png	图	活	Phospho\0331.py:11909（写出）
D:\博士\Phospho\Fig_ProteinLevel_Confounding_v3.tiff	图	活	Phospho\0331.py:11908（写出）
D:\博士\Phospho\Fig_SeqLogo_S.png	图	活	Phospho\0331.py:13153（写出）；Phospho\0210trying.ipynb:c102:102（写出）
D:\博士\Phospho\Fig_SeqLogo_S.tiff	图	活	Phospho\0331.py:13152（写出）；Phospho\0210trying.ipynb:c102:101（写出）
D:\博士\Phospho\Fig_SeqLogo_T.png	图	活	Phospho\0331.py:13153（写出）；Phospho\0210trying.ipynb:c102:102（写出）
D:\博士\Phospho\Fig_SeqLogo_T.tiff	图	活	Phospho\0331.py:13152（写出）；Phospho\0210trying.ipynb:c102:101（写出）
D:\博士\Phospho\Fig_Temporal_GO_Heatmap_Presentation.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Temporal_GO_Heatmap_Presentation.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Window5_AAcomp_Compartment_S.png	图	活	Phospho\0331.py:12756（写出）；Phospho\0210trying.ipynb:c98:61（写出）
D:\博士\Phospho\Fig_Window5_AAcomp_Compartment_S.tiff	图	活	Phospho\0331.py:12755（写出）；Phospho\0210trying.ipynb:c98:60（写出）
D:\博士\Phospho\Fig_Window5_AAcomp_Compartment_T.png	图	活	Phospho\0331.py:12756（写出）；Phospho\0210trying.ipynb:c98:61（写出）
D:\博士\Phospho\Fig_Window5_AAcomp_Compartment_T.tiff	图	活	Phospho\0331.py:12755（写出）；Phospho\0210trying.ipynb:c98:60（写出）
D:\博士\Phospho\Fig_Window5_AAcomp_S.png	图	活	Phospho\0331.py:12541（写出）；Phospho\0210trying.ipynb:c95:92（写出）
D:\博士\Phospho\Fig_Window5_AAcomp_S.tiff	图	活	Phospho\0331.py:12540（写出）；Phospho\0210trying.ipynb:c95:91（写出）
D:\博士\Phospho\Fig_Window5_AAcomp_T.png	图	活	Phospho\0331.py:12541（写出）；Phospho\0210trying.ipynb:c95:92（写出）
D:\博士\Phospho\Fig_Window5_AAcomp_T.tiff	图	活	Phospho\0331.py:12540（写出）；Phospho\0210trying.ipynb:c95:91（写出）
D:\博士\Phospho\Fig_Window5_ByTime_S.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Window5_ByTime_S.tiff	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py、Protein contour\Phospho\0210trying.ipynb 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Phospho\Fig_Window5_Compartment_S.png	图	活	Phospho\0331.py:12688（写出）；Phospho\0210trying.ipynb:c97:66（写出）
D:\博士\Phospho\Fig_Window5_Compartment_S.tiff	图	活	Phospho\0331.py:12687（写出）；Phospho\0210trying.ipynb:c97:65（写出）
D:\博士\Phospho\Fig_Window5_Compartment_T.png	图	活	Phospho\0331.py:12688（写出）；Phospho\0210trying.ipynb:c97:66（写出）
D:\博士\Phospho\Fig_Window5_Compartment_T.tiff	图	活	Phospho\0331.py:12687（写出）；Phospho\0210trying.ipynb:c97:65（写出）
D:\博士\Phospho\Fig_Window5_HighLow_S.png	图	活	Phospho\0331.py:12371（写出）；Phospho\0210trying.ipynb:c93:81（写出）
D:\博士\Phospho\Fig_Window5_HighLow_S.tiff	图	活	Phospho\0331.py:12370（写出）；Phospho\0210trying.ipynb:c93:80（写出）
D:\博士\Phospho\Fig_Window5_HighLow_T.png	图	活	Phospho\0331.py:12371（写出）；Phospho\0210trying.ipynb:c93:81（写出）
D:\博士\Phospho\Fig_Window5_HighLow_T.tiff	图	活	Phospho\0331.py:12370（写出）；Phospho\0210trying.ipynb:c93:80（写出）
D:\博士\Phospho\Fig_Window5_PhosphoVsNon_S.png	图	活	Phospho\0331.py:12443（写出）；Phospho\0210trying.ipynb:c94:66（写出）
D:\博士\Phospho\Fig_Window5_PhosphoVsNon_S.tiff	图	活	Phospho\0331.py:12442（写出）；Phospho\0210trying.ipynb:c94:65（写出）
D:\博士\Phospho\Fig_Window5_PhosphoVsNon_T.png	图	活	Phospho\0331.py:12443（写出）；Phospho\0210trying.ipynb:c94:66（写出）
D:\博士\Phospho\Fig_Window5_PhosphoVsNon_T.tiff	图	活	Phospho\0331.py:12442（写出）；Phospho\0210trying.ipynb:c94:65（写出）
D:\博士\Phospho\Fig_WithinProtein_Paired.png	图	活	Phospho\0331.py:12018（写出）；Phospho\0210trying.ipynb:c89:105（写出）
D:\博士\Phospho\Fig_WithinProtein_Paired.tiff	图	活	Phospho\0331.py:12017（写出）；Phospho\0210trying.ipynb:c89:104（写出）
D:\博士\Phospho\GO_enrichment_20min_movers.csv	数据表	活	Phospho\0331.py:13442（写出）；Phospho\0210trying.ipynb:c109:34（写出）
D:\博士\Phospho\GO_enrichment_2min_movers.csv	数据表	活	Phospho\0331.py:13442（写出）；Phospho\0210trying.ipynb:c109:34（写出）
D:\博士\Phospho\GO_enrichment_8min_movers.csv	数据表	活	Phospho\0331.py:13442（写出）；Phospho\0210trying.ipynb:c109:34（写出）
D:\博士\Phospho\GO_enrichment_90min_movers.csv	数据表	活	Phospho\0331.py:13442（写出）；Phospho\0210trying.ipynb:c109:34（写出）
D:\博士\Phospho\GO_enrichment_both_364.csv	数据表	活	Phospho\0331.py:13220（写出）；Phospho\0210trying.ipynb:c103:61（写出）
D:\博士\Phospho\GO_enrichment_high_only.csv	数据表	活	Phospho\0331.py:13221（写出）；Phospho\0210trying.ipynb:c103:62（写出）
D:\博士\Protein contour\0810.png	图	死	96 个脚本全部解析后没有任何脚本读写它（原先 Phospho\0210trying.ipynb、Phospho\0331.py 的相对路径/通配/变量引用解析后指向别的文件）
D:\博士\Protein contour\2.18_Phospho.pptx	文档	仍不确定	文档/会议记录/文献：96 个脚本解析后没有任何脚本读写它；这类文件本来不以脚本引用为存续标准，脚本追溯无法判断活死
D:\博士\Protein contour\2026.05.06 Meeting.pptx	文档	仍不确定	文档/会议记录/文献：96 个脚本解析后没有任何脚本读写它；这类文件本来不以脚本引用为存续标准，脚本追溯无法判断活死
D:\博士\Protein contour\kevin_pipeline_log_audit.md	文档	仍不确定	文档/会议记录/文献：96 个脚本解析后没有任何脚本读写它；这类文件本来不以脚本引用为存续标准，脚本追溯无法判断活死
D:\博士\Protein contour\Meeting_0304.pdf	文档	仍不确定	文档/会议记录/文献：96 个脚本解析后没有任何脚本读写它；这类文件本来不以脚本引用为存续标准，脚本追溯无法判断活死
